City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
215,Hami,CN,2022-08-31 17:58:59,42.8,93.45,74.55,26,97,8.32
216,Grindavik,IS,2022-08-31 17:55:40,63.8424,-22.4338,50.47,87,75,24.16
217,San Rafael,AR,2022-08-31 17:56:07,-34.6177,-68.3301,70.41,15,13,7.18
218,Tuktoyaktuk,CA,2022-08-31 17:56:55,69.4541,-133.0374,53.6,87,20,8.05
219,Kalabo,ZM,2022-08-31 17:59:00,-14.97,22.6814,72.55,20,7,7.07
220,Bengkulu,ID,2022-08-31 17:59:00,-3.8004,102.2655,75.58,92,100,5.19
221,Touros,BR,2022-08-31 17:59:00,-5.1989,-35.4608,81.73,64,86,21.81
222,Japura,ID,2022-08-31 17:59:01,-0.3167,102.35,75.13,96,73,3.13
223,Marystown,CA,2022-08-31 17:59:01,47.1666,-55.1483,71.87,69,22,9.35
224,Chernogolovka,RU,2022-08-31 17:59:01,56.0,38.3667,54.46,66,90,10.11
225,Lavrentiya,RU,2022-08-31 17:55:50,65.5833,-171.0,43.92,99,100,8.59
226,Karangampel,ID,2022-08-31 17:59:02,-6.4622,108.4519,79.75,79,83,7.56
227,Tessalit,ML,2022-08-31 17:59:02,20.1986,1.0114,101.75,9,23,11.43
228,Pisco,PE,2022-08-31 18:00:03,-13.7,-76.2167,63.01,78,19,11.27
229,Avera,US,2022-08-31 18:00:07,33.194,-82.5271,88.56,47,100,1.59
230,Cap Malheureux,MU,2022-08-31 18:00:09,-19.9842,57.6142,67.46,77,3,7.34
231,Manica,FR,2022-08-31 18:00:11,49.0,-1.1667,67.86,65,95,11.43
232,Virginia Beach,US,2022-08-31 17:59:08,36.8529,-75.978,89.06,50,34,1.01
233,Sisimiut,GL,2022-08-31 18:00:14,66.9395,-53.6735,37.47,92,100,6.73
234,Proletarskiy,RU,2022-08-31 18:00:30,50.7914,35.7731,66.9,54,76,9.37
235,Jiamusi,CN,2022-08-31 18:00:29,46.8333,130.35,56.84,94,54,8.16
236,Bahia Honda,CU,2022-08-31 18:00:31,22.9036,-83.1592,88.2,62,30,9.98
237,Aguimes,ES,2022-08-31 18:00:33,27.9054,-15.4461,75.83,78,20,25.32
238,Nouadhibou,MR,2022-08-31 18:00:35,20.931,-17.0347,74.88,94,97,8.46
239,Deputatskiy,RU,2022-08-31 18:00:36,69.3,139.9,40.21,90,97,2.48
240,Muzhi,RU,2022-08-31 18:00:36,65.3667,64.6667,39.43,81,50,7.11
241,Angoche,MZ,2022-08-31 18:00:37,-16.2325,39.9086,72.95,63,81,20.09
242,Vao,NC,2022-08-31 18:00:38,-22.6667,167.4833,70.2,67,75,15.9
243,Mackay,AU,2022-08-31 17:57:07,-21.15,149.2,64.69,91,65,10.13
244,Fort Nelson,CA,2022-08-31 18:00:42,58.8053,-122.7002,57.15,64,100,2.13
245,Moundsville,US,2022-08-31 18:00:43,39.9203,-80.7431,77.14,55,0,1.01
246,Palm Springs,US,2022-08-31 18:00:44,33.8303,-116.5453,110.71,21,0,13.8
247,Lawton,US,2022-08-31 18:00:44,34.6087,-98.3903,88.03,61,100,13.0
248,Faanui,PF,2022-08-31 17:58:12,-16.4833,-151.75,77.32,74,2,22.06
249,Pedernales,DO,2022-08-31 18:00:45,18.0384,-71.744,86.59,64,100,6.6
250,Fortuna,US,2022-08-31 18:00:45,40.5982,-124.1573,59.67,98,100,3.44
251,Raga,SS,2022-08-31 17:58:03,8.4596,25.678,68.23,98,93,6.29
252,Ancud,CL,2022-08-31 18:00:46,-41.8697,-73.8203,48.22,71,76,8.77
253,Marawi,PH,2022-08-31 18:00:46,7.9986,124.2928,69.19,94,100,4.23
254,Aztec,US,2022-08-31 18:00:46,36.8222,-107.9929,85.48,38,1,1.01
255,Berlevag,NO,2022-08-31 18:00:47,70.8578,29.0864,44.6,81,20,8.05
256,Valdemarpils,LV,2022-08-31 18:00:47,57.3707,22.5919,51.82,84,97,8.19
257,Mareeba,AU,2022-08-31 18:00:47,-17.0,145.4333,66.92,88,65,3.74
258,Cibitoke,BI,2022-08-31 18:00:48,-2.8833,29.25,64.15,87,95,2.01
259,Port Hardy,CA,2022-08-31 17:59:23,50.6996,-127.4199,55.58,100,100,4.61
260,Eureka,US,2022-08-31 17:59:14,40.8021,-124.1637,59.94,87,38,1.01
261,Lithgow,AU,2022-08-31 18:00:48,-33.4833,150.15,44.87,95,96,3.47
262,Pacific Grove,US,2022-08-31 17:58:27,36.6177,-121.9166,75.81,89,0,10.0
263,Haines Junction,CA,2022-08-31 18:00:49,60.7522,-137.5108,53.19,56,8,4.76
264,Lompoc,US,2022-08-31 18:00:06,34.6391,-120.4579,76.84,45,1,11.83
265,Srednekolymsk,RU,2022-08-31 18:00:49,67.45,153.6833,37.83,73,100,7.02
266,Mineiros,BR,2022-08-31 18:00:43,-17.5694,-52.5511,90.86,19,1,5.82
267,Hobyo,SO,2022-08-31 18:00:50,5.3505,48.5268,76.06,84,41,21.05
268,Alto Piquiri,BR,2022-08-31 18:00:50,-24.0281,-53.4406,76.64,45,0,11.63
269,La Rioja,ES,2022-08-31 18:00:51,42.25,-2.5,73.18,58,1,6.69
270,Geraldton,AU,2022-08-31 18:00:51,-28.7667,114.6,45.01,87,0,6.91
271,Calabazar De Sagua,CU,2022-08-31 18:00:51,22.6447,-79.8961,91.35,48,8,5.14
272,Dzilam Gonzalez,MX,2022-08-31 18:01:51,21.2833,-88.9333,89.74,53,76,6.38
273,Qaqortoq,GL,2022-08-31 18:01:52,60.7167,-46.0333,44.92,54,15,2.24
274,Paamiut,GL,2022-08-31 18:01:20,61.994,-49.6678,41.85,75,3,18.12
275,Chara,RU,2022-08-31 18:01:52,56.9064,118.2631,39.9,66,100,2.04
276,Kardamaina,GR,2022-08-31 18:01:53,36.7814,27.1425,76.48,88,20,8.05
